DATE	PREC_IDW3	TEMP	QOBS
31/12/99	2.977	17.6	7.548736908
01/01/00	17.518	17.6	7.248389286
02/01/00	10.693	17.6	8.770150572
03/01/00	0.703	17.6	7.168296586
04/01/00	2.49	17.6	6.627670866
05/01/00	32.645	17.6	6.687740391
06/01/00	26.222	17.6	12.65464649
07/01/00	16.598	17.6	9.170614069
08/01/00	7.057	17.6	9.511008041
09/01/00	8.326	17.6	8.589941999
10/01/00	0	17.6	7.488667384
11/01/00	0.164	17.6	6.847925789
12/01/00	21.731	17.6	6.427439118
13/01/00	90.793	17.6	14.65696397
14/01/00	121.755	17.6	47.25469258
15/01/00	54.009	17.6	43.85075286
16/01/00	7.504	17.6	25.82989552
17/01/00	82.754	17.6	26.43059077
18/01/00	8.315	17.6	32.43754321
19/01/00	0.13	17.6	18.00083417
20/01/00	0.69	17.6	14.19643095
21/01/00	21.935	17.6	12.57455379
22/01/00	4.203	17.6	12.31425252
23/01/00	0.503	17.6	10.09168011
24/01/00	1.126	17.6	9.130567719
25/01/00	1.039	17.6	8.489826125
26/01/00	6.87	17.6	7.989246754
27/01/00	4.086	17.6	7.88913088
28/01/00	0.658	17.6	7.34850516
29/01/00	1.128	17.6	6.80787944
30/01/00	1.25	17.6	6.567601342
31/01/00	2.812	17.6	6.147114671
01/02/00	0.338	17.6	5.966906097
02/02/00	0.702	17.6	5.6465353
03/02/00	8.365	17.6	5.426280377
04/02/00	17.334	17.6	6.587624517
05/02/00	34.928	17.6	6.22720737
06/02/00	34.34	17.6	11.03276933
07/02/00	0.552	17.6	10.49214361
08/02/00	1.9	17.6	7.048157538
09/02/00	0.117	17.6	6.287276894
10/02/00	0.07	17.6	5.826743873
11/02/00	0.099	17.6	5.746651174
12/02/00	0.03	17.6	5.666558475
13/02/00	0.387	17.6	5.566442601
14/02/00	0.09	17.6	5.486349901
15/02/00	0.29	17.6	5.406257202
16/02/00	8.643	17.6	5.326164503
17/02/00	0.013	17.6	5.246071804
18/02/00	28.844	17.6	5.246071804
19/02/00	7.27	17.6	6.006952447
20/02/00	12.002	17.6	5.60648895
21/02/00	88.712	17.6	20.02317482
22/02/00	82.397	17.6	34.0393972
23/02/00	0.464	17.6	14.01622238
24/02/00	0.367	17.6	8.009269929
25/02/00	0.159	17.6	7.909154055
26/02/00	4.572	17.6	7.809038181
27/02/00	1.349	17.6	7.708922307
28/02/00	0.574	17.6	7.608806433
29/02/00	0.022	17.6	7.508690558
01/03/00	0.022	17.6	7.448621034
02/03/00	0	17.6	7.248389286
03/03/00	0.151	17.6	6.567601342
04/03/00	0.518	17.6	6.647694041
05/03/00	0.386	17.6	6.948041663
06/03/00	5.77	17.6	6.447462293
07/03/00	5.062	17.6	6.487508643
08/03/00	6.821	17.6	6.507531817
09/03/00	0.288	17.6	6.347346419
10/03/00	0	17.6	6.006952447
11/03/00	0.575	17.6	5.786697524
12/03/00	0.182	17.6	5.6465353
13/03/00	0.157	17.6	5.526396251
14/03/00	1.278	17.6	5.366210852
15/03/00	0.837	17.6	5.10590958
16/03/00	0.51	17.6	5.306141328
17/03/00	0.108	17.6	5.06586323
18/03/00	1.104	17.6	4.825585132
19/03/00	0.16	17.6	4.805561957
20/03/00	1.208	17.6	4.865631482
21/03/00	0	17.6	4.865631482
22/03/00	0.051	17.6	4.865631482
23/03/00	0	17.6	4.385075286
24/03/00	0.022	17.6	4.445144811
25/03/00	3.758	17.6	4.865631482
26/03/00	1.229	17.6	4.445144811
27/03/00	0.387	17.6	4.585307034
28/03/00	0.323	17.6	4.545260685
29/03/00	0.1	17.6	4.345028936
30/03/00	0.621	17.6	3.98461179
31/03/00	0.299	17.6	3.924542265
01/04/00	0	17.6	4.204866713
02/04/00	0.392	17.6	3.804403216
03/04/00	0.516	17.6	3.90451909
04/04/00	0	17.6	3.98461179
05/04/00	1.653	17.6	3.604171468
06/04/00	0.217	17.6	3.524078769
07/04/00	0.051	17.6	3.183684797
08/04/00	30.724	17.6	3.163661622
09/04/00	43.74	17.6	10.7324217
10/04/00	0.79	17.6	13.69585158
11/04/00	1.06	17.6	7.708922307
12/04/00	0.656	17.6	6.847925789
13/04/00	4.156	17.6	6.507531817
14/04/00	6.183	17.6	6.567601342
15/04/00	1.173	17.6	6.267253719
16/04/00	1.884	17.6	5.886813398
17/04/00	1.13	17.6	5.846767048
18/04/00	2.199	17.6	5.746651174
19/04/00	3.03	17.6	5.706604824
20/04/00	1.268	17.6	5.806720699
21/04/00	1.444	17.6	5.586465775
22/04/00	1.513	17.6	5.506373076
23/04/00	0.577	17.6	5.426280377
24/04/00	0.051	17.6	5.286118153
25/04/00	2.891	17.6	5.706604824
26/04/00	35.796	17.6	8.009269929
27/04/00	9.388	17.6	7.248389286
28/04/00	5.281	17.6	7.528713733
29/04/00	11.126	17.6	7.128250237
30/04/00	3.606	17.6	8.209501677
01/05/00	2.651	17.6	5.406257202
02/05/00	2.556	17.6	5.005793706
03/05/00	1.654	17.6	4.805561957
04/05/00	0.318	17.6	4.605330209
05/05/00	4.636	17.6	5.005793706
06/05/00	2.581	17.6	5.206025454
07/05/00	2.42	17.6	4.605330209
08/05/00	0.891	17.6	4.605330209
09/05/00	0.526	17.6	4.605330209
10/05/00	3.614	17.6	4.605330209
11/05/00	0.839	17.6	5.005793706
12/05/00	0.115	17.6	4.605330209
13/05/00	3.087	17.6	4.805561957
14/05/00	1.985	17.6	4.805561957
15/05/00	7.373	17.6	5.406257202
16/05/00	0.899	17.6	4.184843538
17/05/00	65.035	17.6	6.107068321
18/05/00	2.736	17.6	6.667717216
19/05/00	15.112	17.6	6.507531817
20/05/00	48.368	17.6	8.249548027
21/05/00	31.6	17.6	9.070498195
22/05/00	12.866	17.6	9.030451845
23/05/00	18.501	17.6	9.110544544
24/05/00	11.662	17.6	10.71239853
25/05/00	20.194	17.6	8.249548027
26/05/00	17.975	17.6	10.11170329
27/05/00	61.101	17.6	18.02085734
28/05/00	6.256	17.6	14.27652365
29/05/00	3.321	17.6	9.671193439
30/05/00	12.686	17.6	8.089362628
31/05/00	32.474	17.6	9.450938516
01/06/00	15.775	17.6	8.349663901
02/06/00	9.616	17.6	7.088203887
03/06/00	12.994	17.6	6.607647691
04/06/00	3.819	17.6	7.028134363
05/06/00	13.628	17.6	7.368528335
06/06/00	11.343	17.6	9.090521369
07/06/00	6.527	17.6	8.109385803
08/06/00	10.364	17.6	12.11402077
09/06/00	11.6	17.6	10.83253758
10/06/00	7.638	17.6	8.670034698
11/06/00	0.508	17.6	7.949200405
12/06/00	1.642	17.6	8.109385803
13/06/00	11.353	17.6	7.508690558
14/06/00	13.949	17.6	7.728945482
15/06/00	4.105	17.6	9.571077565
16/06/00	24.977	17.6	11.65348775
17/06/00	30.358	17.6	11.85371949
18/06/00	11.068	17.6	10.75244488
19/06/00	0.579	17.6	9.490984866
20/06/00	8.986	17.6	10.33195821
21/06/00	6.634	17.6	10.03161059
22/06/00	5.298	17.6	9.290753118
23/06/00	57.387	17.6	10.53218996
24/06/00	24.629	17.6	13.79596745
25/06/00	9.561	17.6	14.97733477
26/06/00	7.209	17.6	12.81483189
27/06/00	1.601	17.6	11.33311695
28/06/00	5.214	17.6	9.911471537
29/06/00	2.589	17.6	9.170614069
30/06/00	39.527	17.6	9.851402013
01/07/00	2.265	17.6	12.91494776
02/07/00	1.081	17.6	9.931494712
03/07/00	1.323	17.6	8.549895649
04/07/00	15.996	17.6	8.009269929
05/07/00	1.049	17.6	8.349663901
06/07/00	2.796	17.6	8.409733425
07/07/00	9.317	17.6	8.569918824
08/07/00	5.396	17.6	9.430915341
09/07/00	4.582	17.6	7.92917723
10/07/00	13.784	17.6	7.468644209
11/07/00	0.104	17.6	9.370845817
12/07/00	12.456	17.6	7.34850516
13/07/00	31.975	17.6	7.208342936
14/07/00	3.734	17.6	12.81483189
15/07/00	10.747	17.6	8.750127397
16/07/00	1.114	17.6	14.51680175
17/07/00	0.055	17.6	9.911471537
18/07/00	4	17.6	8.349663901
19/07/00	0.716	17.6	7.568760083
20/07/00	0.005	17.6	7.108227062
21/07/00	10.622	17.6	6.827902614
22/07/00	7.49	17.6	8.109385803
23/07/00	10.722	17.6	14.3966627
24/07/00	44.629	17.6	11.59341822
25/07/00	34.515	17.6	14.85719572
26/07/00	10.177	17.6	13.07513316
27/07/00	30.972	17.6	14.85719572
28/07/00	28.224	17.6	16.05858621
29/07/00	6.826	17.6	13.39550396
30/07/00	5.657	17.6	10.7324217
31/07/00	9.215	17.6	9.531031216
01/08/00	0.661	17.6	9.430915341
02/08/00	5.653	17.6	9.63114709
03/08/00	17.925	17.6	10.77246805
04/08/00	6.99	17.6	10.61228266
05/08/00	40.083	17.6	15.21761287
06/08/00	10.67	17.6	15.09747382
07/08/00	5.257	17.6	16.75939733
08/08/00	23.964	17.6	15.33775191
09/08/00	3.716	17.6	12.59457696
10/08/00	0.588	17.6	10.51216678
11/08/00	3.662	17.6	10.09168011
12/08/00	0.8	17.6	10.19179598
13/08/00	1.508	17.6	9.070498195
14/08/00	5.579	17.6	8.950359146
15/08/00	3.103	17.6	8.209501677
16/08/00	0.03	17.6	7.648852782
17/08/00	3.662	17.6	7.368528335
18/08/00	0.159	17.6	7.128250237
19/08/00	0.013	17.6	7.168296586
20/08/00	2.299	17.6	6.847925789
21/08/00	2.112	17.6	6.507531817
22/08/00	10.431	17.6	6.427439118
23/08/00	3.841	17.6	6.607647691
24/08/00	6.933	17.6	6.467485468
25/08/00	0.708	17.6	9.030451845
26/08/00	0.758	17.6	11.15290838
27/08/00	23.666	17.6	13.43555031
28/08/00	1.752	17.6	11.79364997
29/08/00	2.806	17.6	10.13172646
30/08/00	18.895	17.6	10.67235218
31/08/00	3.122	17.6	9.911471537
01/09/00	4.166	17.6	9.63114709
02/09/00	27.344	17.6	18.48139036
03/09/00	1.744	17.6	13.13520268
04/09/00	19.586	17.6	11.57339505
05/09/00	0.756	17.6	10.13172646
06/09/00	7.917	17.6	10.09168011
07/09/00	3.21	17.6	9.811355663
08/09/00	1.104	17.6	9.611123915
09/09/00	51.799	17.6	17.36009257
10/09/00	9.656	17.6	8.569918824
11/09/00	24.045	17.6	8.790173747
12/09/00	20.531	17.6	8.449779775
13/09/00	4.557	17.6	7.208342936
14/09/00	21.902	17.6	9.731262964
15/09/00	28.625	17.6	11.03276933
16/09/00	18.87	17.6	10.8125144
17/09/00	16.046	17.6	12.23415982
18/09/00	15.396	17.6	9.711239789
19/09/00	6.242	17.6	9.410892167
20/09/00	26.692	17.6	10.8125144
21/09/00	32.398	17.6	13.01506363
22/09/00	1.335	17.6	9.611123915
23/09/00	8.078	17.6	9.01042867
24/09/00	6.917	17.6	8.449779775
25/09/00	11.797	17.6	8.109385803
26/09/00	6.983	17.6	7.809038181
27/09/00	9.051	17.6	7.38855151
28/09/00	5.328	17.6	7.108227062
29/09/00	6.77	17.6	6.687740391
30/09/00	27.906	17.6	9.430915341
01/10/00	12.685	17.6	8.589941999
02/10/00	4.124	17.6	7.368528335
03/10/00	20.423	17.6	10.43207408
04/10/00	0.465	17.6	7.468644209
05/10/00	20.037	17.6	10.13172646
06/10/00	0.531	17.6	7.488667384
07/10/00	1.664	17.6	6.948041663
08/10/00	15.103	17.6	7.468644209
09/10/00	0.468	17.6	7.108227062
10/10/00	1.884	17.6	6.347346419
11/10/00	9.424	17.6	6.567601342
12/10/00	2.414	17.6	6.207184195
13/10/00	5.353	17.6	5.986929272
14/10/00	4.429	17.6	6.026975622
15/10/00	22.873	17.6	10.87258393
16/10/00	11.155	17.6	6.427439118
17/10/00	16.945	17.6	6.387392768
18/10/00	38.083	17.6	6.988088013
19/10/00	47.683	17.6	30.23499398
20/10/00	2.518	17.6	10.07165694
21/10/00	19.82	17.6	10.11170329
22/10/00	4.936	17.6	8.690057873
23/10/00	2.466	17.6	7.84908453
24/10/00	2.998	17.6	7.328481985
25/10/00	1.078	17.6	7.148273412
26/10/00	0.371	17.6	6.76783309
27/10/00	3.455	17.6	6.467485468
28/10/00	35.581	17.6	6.487508643
29/10/00	42.731	17.6	14.71703349
30/10/00	26.766	17.6	14.3966627
31/10/00	5.855	17.6	12.09399759
01/11/00	43.478	17.6	17.19990717
02/11/00	13.084	17.6	13.37548078
03/11/00	3.838	17.6	10.95267663
04/11/00	13.19	17.6	10.55221313
05/11/00	1.81	17.6	10.39202773
06/11/00	1.448	17.6	9.370845817
07/11/00	0.88	17.6	8.750127397
08/11/00	3.41	17.6	8.209501677
09/11/00	0.226	17.6	7.789015006
10/11/00	6.357	17.6	7.38855151
11/11/00	4.669	17.6	7.268412461
12/11/00	1.001	17.6	6.827902614
13/11/00	0.083	17.6	6.527554992
14/11/00	0.432	17.6	6.207184195
15/11/00	3.636	17.6	6.147114671
16/11/00	13.132	17.6	5.886813398
17/11/00	18.819	17.6	7.408574684
18/11/00	11.12	17.6	7.789015006
19/11/00	117.707	17.6	33.03823846
20/11/00	5.726	17.6	16.6993278
21/11/00	1.402	17.6	9.511008041
22/11/00	6.88	17.6	8.389710251
23/11/00	1.47	17.6	7.628829607
24/11/00	0.028	17.6	6.988088013
25/11/00	0.889	17.6	6.547578167
26/11/00	0.049	17.6	6.207184195
27/11/00	1.007	17.6	5.906836573
28/11/00	2.515	17.6	5.766674349
29/11/00	25.167	17.6	5.886813398
30/11/00	38.977	17.6	12.57455379
01/12/00	1.877	17.6	7.068180712
02/12/00	79.921	17.6	18.90187703
03/12/00	21.232	17.6	23.62734629
04/12/00	58.656	17.6	24.22804154
05/12/00	71.401	17.6	48.45608307
06/12/00	4.57	17.6	31.23615272
07/12/00	12.06	17.6	22.22572405
08/12/00	42.25	17.6	17.94076464
09/12/00	14.154	17.6	22.0254923
10/12/00	0	17.6	13.77594428
11/12/00	1.497	17.6	11.85371949
12/12/00	2.651	17.6	10.55221313
13/12/00	2.176	17.6	9.911471537
14/12/00	0.967	17.6	9.05047502
15/12/00	3.277	17.6	8.5098493
16/12/00	0.06	17.6	7.969223579
17/12/00	2.466	17.6	7.508690558
18/12/00	0.06	17.6	7.128250237
19/12/00	3.855	17.6	6.827902614
20/12/00	5.186	17.6	6.747809915
21/12/00	1.299	17.6	5.926859747
22/12/00	8.125	17.6	6.347346419
23/12/00	18.868	17.6	6.547578167
24/12/00	43.539	17.6	10.33195821
25/12/00	21.689	17.6	13.6758284
26/12/00	9.03	17.6	8.990405495
27/12/00	1.076	17.6	7.588783258
28/12/00	0.463	17.6	7.028134363
29/12/00	2.92	17.6	6.72778674
30/12/00	9.837	17.6	6.407415943
31/12/00	27.171	17.6	8.589941999
01/01/01	34.186	17.6	12.93497094
02/01/01	45.737	17.6	16.59921193
03/01/01	21.61	17.6	14.0762919
04/01/01	0.782	17.6	11.57339505
05/01/01	18.758	17.6	9.991564236
06/01/01	18.638	17.6	12.69469284
07/01/01	2.384	17.6	10.41205091
08/01/01	0.305	17.6	9.390868992
09/01/01	0.748	17.6	8.650011523
10/01/01	0.702	17.6	8.069339453
11/01/01	0.112	17.6	7.648852782
12/01/01	0	17.6	7.268412461
13/01/01	2.128	17.6	7.128250237
14/01/01	0	17.6	6.667717216
15/01/01	0.185	17.6	6.547578167
16/01/01	0.908	17.6	6.307300069
17/01/01	0.03	17.6	6.046998796
18/01/01	1.194	17.6	5.966906097
19/01/01	2.404	17.6	5.926859747
20/01/01	0.356	17.6	5.706604824
21/01/01	11.34	17.6	5.506373076
22/01/01	38.526	17.6	6.827902614
23/01/01	69.694	17.6	17.0997913
24/01/01	45.325	17.6	20.22340657
25/01/01	63.674	17.6	24.42827328
26/01/01	36.149	17.6	34.43986069
27/01/01	0.068	17.6	20.42363832
28/01/01	0	17.6	14.0762919
29/01/01	0.051	17.6	11.7736268
30/01/01	0	17.6	10.43207408
31/01/01	0	17.6	9.55105439
01/02/01	0	17.6	8.910312796
02/02/01	0.437	17.6	8.369687076
03/02/01	0	17.6	7.869107705
04/02/01	1.394	17.6	7.568760083
05/02/01	0.908	17.6	5.085886405
06/02/01	0	17.6	5.045840055
07/02/01	0.212	17.6	6.707763566
